ERL2,ERL2+25,ERL2-25,RL2,RL2+25,RL2-25,EMAML,EMAML+25,EMAML-25,MAML,MAML+25,MAML-25
3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.4,3.0,3.0,3.0,3.0
3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.5,3.0,3.0,2.8,3.0
2.7,2.2,3.0,2.5,2.8,3.0,3.0,2.2,3.0,2.7,2.5,2.9
2.4,2.1,2.8,2.0,1.8,2.7,2.5,2.1,2.8,2.6,2.2,2.9
2.0,1.7,2.5,1.1,1.0,2.2,2.1,1.7,2.7,2.2,2.0,2.8
1.8,1.4,2.4,1.0,0.9,1.7,1.8,1.6,2.1,2.4,2.1,2.7
1.4,1.4,1.8,1.1,0.9,1.1,1.7,1.5,1.9,2.0,2.0,2.7
1.5,1.3,1.6,1.0,1.0,1.0,1.8,1.7,1.8,2.1,2.0,2.4
1.4,1.4,1.5,1.1,1.0,1.1,1.8,1.8,1.8,2.0,2.0,2.3
